;Unnamed: 0;loc_for_geocoding;Street;Numbers;Toponyms;full_street_name;location_options;addr_to_geocode;only_full_street_name;Location;geometry;date;text;label_cat;loc_dist;source;source_cf;index_right;NAME
72060;72060;Подольская ул;подольская;;улица;Подольская улица  Санкт-Петербург Россия;['Подольская улица  Санкт-Петербург Россия'];Подольская улица  Санкт-Петербург Россия;Подольская улица;Подольская улица, округ Семёновский, Санкт-Петербург, Северо-Западный федеральный округ, 190013, Россия;POINT (30.3233587 59.9167318);2022-05-11;Детскую площадку делали в ноябре-декабре 2021 года, в сильные снега. Качество сборки оставляет желать лучшего. Карусель ломалась уже несколько раз, сейчас уже долго время ее никто не ремонтирует. У веревочной лазилки, раскурились удерживающие ее болты. И использовать ее стало очень опасно. Раскрутились счеты.;Благоустройство;Адмиралтейский;ПОС;1;69.0;Семёновский
72064;72064;Сикейроса ул 12;сикейроса;12;улица;улица Сикейроса 12 Санкт-Петербург Россия;['улица Сикейроса 12 Санкт-Петербург Россия'];улица Сикейроса 12 Санкт-Петербург Россия;улица Сикейроса;12, улица Сикейроса, округ Сосновское, Санкт-Петербург, Северо-Западный федеральный округ, 194354, Россия;POINT (30.333281785700486 60.036062900000005);2022-05-11;Второй год обещают новую детскую площадку по адресу ул. Сикейроса, д. 12 во дворе. Из всех близлежащих детских площадок наша самая страшная, грязная, мокрая, поломанная, непригодная для прогулок с детьми. Раньше она была самая популярная, а теперь на ней почти не гуляют дети, на ней нечего делать. Будет ли новая?;Благоустройство;Выборгский;ПОС;1;70.0;Сосновское
72069;72069;Ленинский пр-т 121;ленинский;121;;Ленинский проспект 121 Санкт-Петербург Россия;['Ленинский проспект 121 Санкт-Петербург Россия'];Ленинский проспект 121 Санкт-Петербург Россия;Ленинский проспект;121, Ленинский проспект, округ Княжево, Санкт-Петербург, Северо-Западный федеральный округ, 198216, Россия;POINT (30.260714954690723 59.85132685);2022-05-11;добрый день. месяц назад в нашей парадной произвели покраску стен в лифтах (отдельное спасибо за это), но нерадивые проживающие, либо гости нашей парадной превратили стены в лифтах в нечто (на стенах плевки, следы от обуви, граффити). помогите пожалуйста устранить данную проблему;ЖКХ;Кировский;ПОС;1;51.0;Княжево
72073;72073;Земледельческая ул 5к2;земледельческая;5к2;улица;Земледельческая улица 5к2 Санкт-Петербург Россия;['Земледельческая улица 5к2 Санкт-Петербург Россия'];Земледельческая улица 5к2 Санкт-Петербург Россия;Земледельческая улица;5 к2, Земледельческая улица, Выборгская сторона, округ Ланское, Санкт-Петербург, Северо-Западный федеральный округ, 197343, Россия;POINT (30.324367377421716 59.9907877);2022-05-11;Дорожное покрытие вдоль дома Земледельческая 5 к 2 при заезде с ул. Сердобольская и вдоль фасада, выходящего на Пионерский сад, разрушено. В ямы проваливаются колеса машин. Временное латание дыр не решает вопрос, дорога находится в неудовлеторительном состоянии. Более того, это единственный подъезд к многоквартирному дому на 734 квартиры. Прошу восстановить дорожное покрытие единственного подъезда к многоквартирному дому.;Дороги;Приморский;ПОС;1;56.0;Чёрная речка
72076;72076;Пулковская ул 8к1;пулковская;8к1;улица;Пулковская улица 8к1 Санкт-Петербург Россия;['Пулковская улица 8к1 Санкт-Петербург Россия'];Пулковская улица 8к1 Санкт-Петербург Россия;Пулковская улица;8 к1, Пулковская улица, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196142, Россия;POINT (30.35045309949391 59.8380893);2022-05-11;Проезд между домами номер 6 и 8 по Пулковской улице. Проехать на легковом транспорте очень проблематично, ямы глубиной более 100 мм!!! Машины бьются бамперами и защитами картера ДВС. В ноябре 2021 года уже поднимался этот вопрос - приехали, кое-как заделали. Через пару месяцев всё вернулось обратно, а сейчас стало ещё хуже!;Дороги;Московский;ПОС;1;71.0;Звёздное
72078;72078;Будапештская ул 20;будапештская;20;улица;Будапештская улица 20 Санкт-Петербург Россия;['Будапештская улица 20 Санкт-Петербург Россия'];Будапештская улица 20 Санкт-Петербург Россия;Будапештская улица;Поликлиника №44, 20 к1, Будапештская улица, округ Купчино, Санкт-Петербург, Северо-Западный федеральный округ, 192071, Россия;POINT (30.372940711897847 59.866269450000004);2022-05-11;На выезде из двора состояние дорожного покрытия не пригодно для проезда машин, велосипедов и детских колясок, просьба провести полный ремонт дороги.;Дороги;Фрунзенский;ПОС;1;9.0;Купчино
72079;72079;Костюшко ул;костюшко;;улица;улица Костюшко  Санкт-Петербург Россия;['улица Костюшко  Санкт-Петербург Россия'];улица Костюшко  Санкт-Петербург Россия;улица Костюшко;улица Костюшко, Предпортовая, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196240, Россия;POINT (30.30875636356244 59.84256697533173);2022-05-11;Здравствуйте, проложите, пожалуйста, пешеходную дорожку. С того момента, как убрали, заграждающие проезд, блоки, интенсивность движения сильно увеличилась. В том числе из-за желания водителей срезать путь с ул. Костюшко через дворы. Вдоль заборчика в будние дни плотно паркуются автомобили, оставляя проезд шириной лишь для одной машины. Из-за этого проход для пешеходов стал небезопасным, так как каждая машина стремится быстро проскочить этот узкий участок. Большая часть пешеходов — пожилые люди, дети и матери с колясками, так как путь ведёт к детской и взрослой поликлиникам. А также местные жители с питомцами. Прошу проложить дорожку для пешеходов на месте протоптанной тропинки!;Дороги;Московский;ПОС;1;46.0;Новоизмайловское
72092;72092;Науки пр-т 17;науки;17;;проспект Науки 17 Санкт-Петербург Россия;['проспект Науки 17 Санкт-Петербург Россия'];проспект Науки 17 Санкт-Петербург Россия;проспект Науки;О’КЕЙ, 17 к1, проспект Науки, Гражданка, округ Академическое, Санкт-Петербург, Северо-Западный федеральный округ, 195220, Россия;POINT (30.38831183927997 60.01426455);2022-05-11;"По адресу пр. Науки, дом 17 корпус 6 на въезде с проспекта Науки (справа от ""Платформы"") большая яма. Заезжать на машине проблематично - яма глубокая и прямо в колее.";Дороги;Калининский;ПОС;1;85.0;Академическое
72093;72093;Будапештская ул 17к2;будапештская;;улица;Будапештская улица  Санкт-Петербург Россия;['Будапештская улица  Санкт-Петербург Россия'];Будапештская улица  Санкт-Петербург Россия;Будапештская улица;Будапештская улица, Балканский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192283, Россия;POINT (30.403659128362296 59.831810428682225);2022-05-11;После ремонта дороги у дома по адресу Будапештская ул д.17 к 2. Не были установлены новые лежачие полицейские взамен старых. Старые лежачие полицейские разрушены(фото прилагаю) По этой дороге дети идут в школу, машины очень быстро ездят. Прошу установить новые лежачие полицейские.;Дороги;Фрунзенский;ПОС;1;87.0;Балканский
72097;72097;Кубинская ул 40;кубинская;40;улица;Кубинская улица 40 Санкт-Петербург Россия;['Кубинская улица 40 Санкт-Петербург Россия'];Кубинская улица 40 Санкт-Петербург Россия;Кубинская улица;40, Кубинская улица, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196247, Россия;POINT (30.29588495 59.86063445);2022-05-11;Добрый день! Внести изменения ФИО по лицевому счёту 130255810 , ул. Кубинская,40 кВ .2;ЖКХ;Московский;ПОС;1;46.0;Новоизмайловское
72100;72100;Воронежская ул 104;воронежская;104;улица;Воронежская улица 104 Санкт-Петербург Россия;['Воронежская улица 104 Санкт-Петербург Россия'];Воронежская улица 104 Санкт-Петербург Россия;Воронежская улица;Поликлиника №19, 104, Воронежская улица, Волково, округ Волковское, Санкт-Петербург, Северо-Западный федеральный округ, 192007, Россия;POINT (30.344083702418637 59.90999935);2022-05-11;Добрый день! В поликлинике 19 Петроградского района нет онлайн записи к педиатру уже несколько лет! Кроме того, нет закрепленного педиатра за участком №6 и сегодня, 11.05.2022, на мой вопрос кто принимает и как записаться, сказали, что только в порядке живой очереди, а принимать сегодня будет другой педиатр (который отвечает вообще за другие участки). Почему люди с детьми должны сидеть в огромных очередях (там очереди на весь коридор по 2 часа)! Куда жаловаться по этому поводу? Спасибо!;Здравоохранение;Фрунзенский;ПОС;1;76.0;Волковское
72102;72102;Сикейроса ул 12;сикейроса;12;улица;улица Сикейроса 12 Санкт-Петербург Россия;['улица Сикейроса 12 Санкт-Петербург Россия'];улица Сикейроса 12 Санкт-Петербург Россия;улица Сикейроса;12, улица Сикейроса, округ Сосновское, Санкт-Петербург, Северо-Западный федеральный округ, 194354, Россия;POINT (30.333281785700486 60.036062900000005);2022-05-11;6 мая группой дворников был собран мусор с газонов во дворе по адресу ул. Сикейроса, д. 12.Уже неделю лежат чёрные полиэтиленовые мешки с мусором, их так много, что кажется, что ты на свалке или помойке. Газон до конца не убран, видимо, мешки кончились. Сегодня 11 мая никто с 6 мая во дворе не появлялся и мусор не убирал и не вывозил. На газоне возле мусорной площадке лежат такие же полиэтиленовые пакетыс мусором с осени. Прошу принять меры.;Отходы;Выборгский;ПОС;1;70.0;Сосновское
72106;72106;Кавалергардская ул 19;кавалергардская;19;улица;Кавалергардская улица 19 Санкт-Петербург Россия;['Кавалергардская улица 19 Санкт-Петербург Россия'];Кавалергардская улица 19 Санкт-Петербург Россия;Кавалергардская улица;19, Кавалергардская улица, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191015, Россия;POINT (30.38391025 59.949470399999996);2022-05-11;Требуется чистка вентиляционных каналов кв. 8. Тел. для связи 8 906 550-72-11 Дарья;ЖКХ;Центральный;ПОС;1;29.0;Смольнинское
72116;72116;Кавалергардская ул 19;кавалергардская;19;улица;Кавалергардская улица 19 Санкт-Петербург Россия;['Кавалергардская улица 19 Санкт-Петербург Россия'];Кавалергардская улица 19 Санкт-Петербург Россия;Кавалергардская улица;19, Кавалергардская улица, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191015, Россия;POINT (30.38391025 59.949470399999996);2022-05-11;Необходима чистка вентиляционных каналов в кв.7, тел.для связи 89650800381 Елена;ЖКХ;Центральный;ПОС;1;29.0;Смольнинское
72125;72125;Кавалергардская ул 19;кавалергардская;19;улица;Кавалергардская улица 19 Санкт-Петербург Россия;['Кавалергардская улица 19 Санкт-Петербург Россия'];Кавалергардская улица 19 Санкт-Петербург Россия;Кавалергардская улица;19, Кавалергардская улица, Пески, округ Смольнинское, Санкт-Петербург, Северо-Западный федеральный округ, 191015, Россия;POINT (30.38391025 59.949470399999996);2022-05-11;Требуется прочистка и осмотр с крыши вентиляционных каналов в квартире 19. В квартиру во время дождя из вентиляционных каналов стекает вода. Так же в квартиру падают живые и не живые птицы. Телефон для согласования времени +7(911)2378546 Игорь;ЖКХ;Центральный;ПОС;1;29.0;Смольнинское
