;Unnamed: 0;loc_for_geocoding;Street;Numbers;Toponyms;full_street_name;location_options;addr_to_geocode;only_full_street_name;Location;geometry;date;text;label_cat;loc_dist;source;source_cf;index_right;NAME
0;0;Новаторов б-р 26к2;новаторов;;;бульвар Новаторов  Санкт-Петербург Россия;['бульвар Новаторов  Санкт-Петербург Россия'];бульвар Новаторов  Санкт-Петербург Россия;бульвар Новаторов;бульвар Новаторов, Дачное, округ Дачное, Санкт-Петербург, Северо-Западный федеральный округ, 198217, Россия;POINT (30.24606855 59.84126845);2022-02-23;Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел;Дороги;Кировский;ПОС;1;40.0;Дачное
4;4;Ольминского ул;ольминского;;улица;улица Ольминского  Санкт-Петербург Россия;['улица Ольминского  Санкт-Петербург Россия'];улица Ольминского  Санкт-Петербург Россия;улица Ольминского;улица Ольминского, Смоленское, округ Невская застава, Санкт-Петербург, Северо-Западный федеральный округ, 192029, Россия;POINT (30.418407780785177 59.89693063359678);2022-02-23;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Невский;ПОС;1;43.0;Невская застава
12;12;Школьная ул;школьная;;улица;Школьная улица  Санкт-Петербург Россия;['Школьная улица  Санкт-Петербург Россия'];Школьная улица  Санкт-Петербург Россия;Школьная улица;Школьная улица, Новая Деревня, округ Ланское, Санкт-Петербург, Северо-Западный федеральный округ, 197348, Россия;POINT (30.29228992429409 59.988424577190806);2022-02-23;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Приморский;ПОС;1;56.0;Чёрная речка
70;70;Ивановская ул 36;ивановская;36;улица;Ивановская улица 36 Санкт-Петербург Россия;['Ивановская улица 36 Санкт-Петербург Россия'];Ивановская улица 36 Санкт-Петербург Россия;Ивановская улица;36, Ивановская улица, Щемиловка, Ивановский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192171, Россия;POINT (30.43474061918927 59.8718351);2022-02-23;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Колпинский;ПОС;1;91.0;Ивановский
72;72;Шотмана ул 12к3;шотмана;;улица;улица Шотмана  Санкт-Петербург Россия;['улица Шотмана  Санкт-Петербург Россия'];улица Шотмана  Санкт-Петербург Россия;улица Шотмана;улица Шотмана, Весёлый Посёлок, округ № 54, Санкт-Петербург, Северо-Западный федеральный округ, 193232, Россия;POINT (30.475575086832254 59.89985865569807);2022-02-23;Снег не убран у школы 34. Не пройти не проехать;Дороги;Невский;ПОС;1;100.0;№ 54
73;73;Шотмана ул 4;шотмана;4;улица;улица Шотмана 4 Санкт-Петербург Россия;['улица Шотмана 4 Санкт-Петербург Россия'];улица Шотмана 4 Санкт-Петербург Россия;улица Шотмана;4, улица Шотмана, Весёлый Посёлок, округ № 54, Санкт-Петербург, Северо-Западный федеральный округ, 193232, Россия;POINT (30.474623463191534 59.90092305);2022-02-23;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Невский;ПОС;1;100.0;№ 54
74;74;Гаккелевская ул 27к2;гаккелевская;;улица;Гаккелевская улица  Санкт-Петербург Россия;['Гаккелевская улица  Санкт-Петербург Россия'];Гаккелевская улица  Санкт-Петербург Россия;Гаккелевская улица;Гаккелевская улица, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197227, Россия;POINT (30.25643448611495 60.00296981964769);2022-02-23;Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.;Дороги;Приморский;ПОС;1;36.0;№ 65
75;75;Добровольцев ул 18;добровольцев;18;улица;улица Добровольцев 18 Санкт-Петербург Россия;['улица Добровольцев 18 Санкт-Петербург Россия'];улица Добровольцев 18 Санкт-Петербург Россия;улица Добровольцев;18, улица Добровольцев, Лигово, округ Урицк, Санкт-Петербург, Северо-Западный федеральный округ, 198329, Россия;POINT (30.1702093 59.83936425);2022-02-23;Просто не проехать! О разъезде двух автомобилей и речи нет!;Дороги;Красносельский;ПОС;1;32.0;Урицк
77;77;Гвардейская ул 8к2;гвардейская;8к2;улица;Гвардейская улица 8к2 Санкт-Петербург Россия;['Гвардейская улица 8к2 Санкт-Петербург Россия'];Гвардейская улица 8к2 Санкт-Петербург Россия;Гвардейская улица;8 к2, Гвардейская улица, Красное Село, Санкт-Петербург, Северо-Западный федеральный округ, 198320, Россия;POINT (30.086000144850168 59.735193949999996);2022-02-23;Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!;Дороги;Красносельский;ПОС;1;17.0;Красное Село
79;79;Добровольцев ул 26;добровольцев;26;улица;улица Добровольцев 26 Санкт-Петербург Россия;['улица Добровольцев 26 Санкт-Петербург Россия'];улица Добровольцев 26 Санкт-Петербург Россия;улица Добровольцев;26, улица Добровольцев, Лигово, округ Урицк, Санкт-Петербург, Северо-Западный федеральный округ, 198329, Россия;POINT (30.16643406923248 59.836929);2022-02-23;Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!;Дороги;Красносельский;ПОС;1;32.0;Урицк
82;82;Искровский пр-т;искровский;;;Искровский проспект  Санкт-Петербург Россия;['Искровский проспект  Санкт-Петербург Россия'];Искровский проспект  Санкт-Петербург Россия;Искровский проспект;Искровский проспект, Невский округ, Санкт-Петербург, Северо-Западный федеральный округ, 193168, Россия;POINT (30.462628820874713 59.91009165704288);2022-02-23;Слишком высокая колейность на дороге. Если у тебя не полноприводный внедорожник, то припарковать машину без мучений не возможно . Дном машины скребешь лёд, колёса застревают в колее. Прошу с преминением спец техники снять лёд с проезжей части;Дороги;Невский;ПОС;1;96.0;Невский
203;203;Ломоносова ул;ломоносова;;улица;улица Ломоносова  Санкт-Петербург Россия;['улица Ломоносова  Санкт-Петербург Россия'];улица Ломоносова  Санкт-Петербург Россия;улица Ломоносова;улица Ломоносова, Владимирский округ, Санкт-Петербург, Северо-Западный федеральный округ, 191038, Россия;POINT (30.339550174259987 59.92718251801158);2022-02-23;Дефекты покрытия. Огромные ямы;Благоустройство;Пушкинский;ПОС;1;75.0;Владимирский
206;206;Котина ул 6к1;котина;6к1;улица;улица Котина 6к1 Санкт-Петербург Россия;['улица Котина 6к1 Санкт-Петербург Россия'];улица Котина 6к1 Санкт-Петербург Россия;улица Котина;6 к1, улица Котина, Юго-Запад, округ Юго-Запад, Санкт-Петербург, Северо-Западный федеральный округ, 198330, Россия;POINT (30.210910952770448 59.8573577);2022-02-23;Здравствуйте. Прошу разобраться почему во дворе с начала зимы не ездит трактор и не убирает снег? Образовалась такая колеия, что машина скребет днишем по льду и нет возможности припарковаться нормально.;Дороги;Красносельский;ПОС;1;39.0;Юго-Запад
209;209;Стахановцев ул;стахановцев;;улица;улица Стахановцев  Санкт-Петербург Россия;['улица Стахановцев  Санкт-Петербург Россия'];улица Стахановцев  Санкт-Петербург Россия;улица Стахановцев;улица Стахановцев, Малая Охта, округ Малая Охта, Санкт-Петербург, Северо-Западный федеральный округ, 195112, Россия;POINT (30.40735130965466 59.9276139840337);2022-02-23;Во дворе дома по улице Стахановцев гололед;Дороги;Красногвардейский;ПОС;1;89.0;Малая Охта
210;210;Народная ул 2;народная;2;улица;Народная улица 2 Санкт-Петербург Россия;['Народная улица 2 Санкт-Петербург Россия'];Народная улица 2 Санкт-Петербург Россия;Народная улица;53 к2, Народная улица, Малая Рыбацкая, Народный округ, Санкт-Петербург, Северо-Западный федеральный округ, 193315, Россия;POINT (30.477618743502905 59.880997199999996);2022-02-23;За зиму ни разу не производилась очистка внутриквартального проезда по адресу ул Народная д2 . На дорожном покрытии образовалась наледь высотой достигающей 10 см и более с колеей и провалами, по сути это чистый лед , каток с ямами по которому не возможно перемещаться как пешеходам , так и автомобилям . Мои родители -пенсионеры, моя бабушка -ветеран Великой Отечественной войны , не могут безопасно выйти из собственного дома и сходить даже в магазин за продуктами! Прошу немедленно произвести очистку данного проезда от наледи и снега !;Дороги;Невский;ПОС;1;101.0;Народный
211;211;Чудновского ул 2/11;чудновского;;улица;улица Чудновского  Санкт-Петербург Россия;['улица Чудновского  Санкт-Петербург Россия'];улица Чудновского  Санкт-Петербург Россия;улица Чудновского;улица Чудновского, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193231, Россия;POINT (30.477177933579746 59.93129012438681);2022-02-23;Во дворах Чудновского 2/11 и Кржижановского 13 и 15 не убраны дороги от снега и льда, один сплошной каток. Дороги ни чем не посыпаны. Машины буксуют из-за отсутствия уборки во дворах. Просьба очистить дороги от снега и льда во дворах.;Дороги;Невский;ПОС;1;93.0;Правобережный
214;214;Чудновского ул 2/11;чудновского;;улица;улица Чудновского  Санкт-Петербург Россия;['улица Чудновского  Санкт-Петербург Россия'];улица Чудновского  Санкт-Петербург Россия;улица Чудновского;улица Чудновского, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193231, Россия;POINT (30.477177933579746 59.93129012438681);2022-02-23;Во дворе Чудновского 2/11 и Кржижановского д. 13 и д. 15 не убраны дворовые дороги и ни чем не посыпаны, один сплошной каток, от остановки до дома не возможно пройти. Просьба очистить от наледи дороги во дворах.;Дороги;Невский;ПОС;1;93.0;Правобережный
217;217;Гвардейская ул 8к1;гвардейская;8к1;улица;Гвардейская улица 8к1 Санкт-Петербург Россия;['Гвардейская улица 8к1 Санкт-Петербург Россия'];Гвардейская улица 8к1 Санкт-Петербург Россия;Гвардейская улица;Гвардейская улица, Ломоносов, Санкт-Петербург, Северо-Западный федеральный округ, 188530, Россия;POINT (29.671571610106575 59.92467970235327);2022-02-23;Во дворе по адресу Красное Село ул Гвардейская 8 к2 невозможно ходить!Люди ломают руки и ноги!Машинам тоже проехать без повреждений не удаётся!Такой беспредел твориться на протяжении всей зимы!Примите пожалуйста меры!;Дороги;Красносельский;ПОС;1;11.0;Ломоносов
219;219;Искровский пр-т;искровский;;;Искровский проспект  Санкт-Петербург Россия;['Искровский проспект  Санкт-Петербург Россия'];Искровский проспект  Санкт-Петербург Россия;Искровский проспект;Искровский проспект, Невский округ, Санкт-Петербург, Северо-Западный федеральный округ, 193168, Россия;POINT (30.462628820874713 59.91009165704288);2022-02-23;Необходимо с помощью спец техники очистить проезжую часть. Машину не могут нормально проехать, про людей вообще молчу, там просто нет для них безопасной дороги;Дороги;Невский;ПОС;1;96.0;Невский
338;338;Авангардная ул;авангардная;;улица;Авангардная улица  Санкт-Петербург Россия;['Авангардная улица  Санкт-Петербург Россия'];Авангардная улица  Санкт-Петербург Россия;Авангардная улица;Авангардная улица, Лигово, округ Урицк, Санкт-Петербург, Северо-Западный федеральный округ, 198328, Россия;POINT (30.18007227192846 59.840744703964496);2022-02-23;Наледь. Нед посылки ПГМ.;Дороги;Красносельский;ПОС;1;32.0;Урицк
342;342;Пушкинская ул 50;пушкинская;50;улица;Пушкинская улица 50 Санкт-Петербург Россия;['Пушкинская улица 50 Санкт-Петербург Россия'];Пушкинская улица 50 Санкт-Петербург Россия;Пушкинская улица;50, Пушкинская улица, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 196624, Россия;POINT (30.378576350636884 59.805919599999996);2022-02-23;Огромная ледяная колея. Машина цепляет днищем. Идти пешком тоже невозможно из за льда.;Дороги;Пушкинский;ПОС;1;23.0;Шушары
345;345;Чудновского ул 9;чудновского;9;улица;улица Чудновского 9 Санкт-Петербург Россия;['улица Чудновского 9 Санкт-Петербург Россия'];улица Чудновского 9 Санкт-Петербург Россия;улица Чудновского;9, улица Чудновского, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193231, Россия;POINT (30.47501715615556 59.92894875);2022-02-23;Не чистится проезд между домами 9 и 13 по ул.Чудновского, вот уже 8 дней. Не пройти, и не проехать.;Дороги;Невский;ПОС;1;93.0;Правобережный
346;346;Чудновского ул 13;чудновского;13;улица;улица Чудновского 13 Санкт-Петербург Россия;['улица Чудновского 13 Санкт-Петербург Россия'];улица Чудновского 13 Санкт-Петербург Россия;улица Чудновского;13, улица Чудновского, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193231, Россия;POINT (30.474748821074158 59.9278598);2022-02-23;Не чистят снег, гололед вокруг дома 13 по ул. Чудновского. Пешеходы падают, как кегли.;Дороги;Невский;ПОС;1;93.0;Правобережный
347;347;Таллинское ш;таллинское;;;Таллинское шоссе  Санкт-Петербург Россия;['Таллинское шоссе  Санкт-Петербург Россия'];Таллинское шоссе  Санкт-Петербург Россия;Таллинское шоссе;Таллинское шоссе, Старо-Паново, округ Горелово, Санкт-Петербург, Северо-Западный федеральный округ, 198205, Россия;POINT (30.1824586 59.82179195);2022-02-23;Очень глубокая яма. При оттепели она заполняется водой и ее не видно. Можно сильно повредить колесо.;Дороги;Красносельский;ПОС;1;18.0;Горелово
354;354;Бухарестская ул 31;бухарестская;31;улица;Бухарестская улица 31 Санкт-Петербург Россия;['Бухарестская улица 31 Санкт-Петербург Россия'];Бухарестская улица 31 Санкт-Петербург Россия;Бухарестская улица;31 к3, Бухарестская улица, округ Купчино, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия;POINT (30.38226676733907 59.8654488);2022-02-23;Автомобильные выезды из нашего квартала(от дома по адресу Бухарестская 31-5) на улицу Турку или на улицу Будапештская в ужасающем состоянии. Огромные ямы в асфальте,в которых скапливается вода,лужи,грязь. Самое интересно,что 4 года назад эти выезды ремонтировались. Но ремонт был выполнен некачественно крайне. Нужно найти исполнителей ,должна же быть какой-то гарантийный срок.. Безобразие;Дороги;Фрунзенский;ПОС;1;9.0;Купчино
356;356;Загородный пр-т;загородный;;;Загородный проспект  Санкт-Петербург Россия;['Загородный проспект  Санкт-Петербург Россия'];Загородный проспект  Санкт-Петербург Россия;Загородный проспект;Загородный проспект, Владимирский округ, Санкт-Петербург, Северо-Западный федеральный округ, 191002, Россия;POINT (30.34511104391269 59.92725702088898);2022-02-23;Ямы на дороге! На протяжении всего Загородного проспекта есть глубокие ямы. На фото участок дороги на Загородном проспекте 16. На фотографиях виден масштаб.;Дороги;Центральный;ПОС;1;75.0;Владимирский
364;364;Соломахинский пр-д;соломахинский;;;Соломахинский проезд  Санкт-Петербург Россия;['Соломахинский проезд  Санкт-Петербург Россия'];Соломахинский проезд  Санкт-Петербург Россия;Соломахинский проезд;Соломахинский проезд, Дачное, округ Дачное, Санкт-Петербург, Северо-Западный федеральный округ, 198207, Россия;POINT (30.245357878400792 59.853045280565695);2022-02-23;Большая яма на дороге.;Дороги;Кировский;ПОС;1;40.0;Дачное
366;366;Петергофское ш 73;петергофское;73;;Петергофское шоссе 73 Санкт-Петербург Россия;['Петергофское шоссе 73 Санкт-Петербург Россия'];Петергофское шоссе 73 Санкт-Петербург Россия;Петергофское шоссе;Петергофское шоссе, 73, Новосергиево, округ Сосновая поляна, Санкт-Петербург, Северо-Западный федеральный округ, 198206, Россия;POINT (30.1248794 59.8545673);2022-02-23;От лица коллектива Оллфолейблс Рус и себя лично, прошу отремонтировать дорогу по адресу СПб, Красносельский район, Петергофское шоссе 73. На участке от железнодорожных путей до Петергофского шоссе 73 лит А , протяженностью 200 метров сплошные ямы . Глубина ям составляет от 10 до 27 см ( фото прилагается). Количество ям устрашает пешеходов и автолюбителей. Я лично вчера проехал по луже, которая прикрыла яму, после чего мне разорвало покрышку и согнуло колесный диск на автомобиле. После чего я понес существенные финансовые потери. Ежедневно автомашины увозят на эвакуаторах после попадания машин в ямы. Как эти ямы только не ремонтировали, засыпали камнями, закладывали кирпичами, даже заливали БЕТОНОМ!!!!( фото прилагается). Прошу отремонтировать данный участок с соблюдением всех технологий укладки асфальта.;Дороги;Красносельский;ПОС;1;26.0;Сосновая поляна
369;369;Комендантский пр-т;комендантский;;;Комендантский проспект  Санкт-Петербург Россия;['Комендантский проспект  Санкт-Петербург Россия'];Комендантский проспект  Санкт-Петербург Россия;Комендантский проспект;Комендантский проспект, Озеро Долгое, округ Озеро Долгое, Санкт-Петербург, Северо-Западный федеральный округ, 197371, Россия;POINT (30.2564847 60.0103196);2022-02-23;Дорога вся в глубоких ямах. От талого снега ямы заполнились водой и не видно куда ехать. Та часть, которая не в ямах покрыта огромным количеством льда, машины застревают и не могут проехать.;Дороги;Приморский;ПОС;1;50.0;Озеро Долгое
439;439;Руднева ул;руднева;;улица;улица Руднева  Санкт-Петербург Россия;['улица Руднева  Санкт-Петербург Россия'];улица Руднева  Санкт-Петербург Россия;улица Руднева;улица Руднева, округ № 15, Санкт-Петербург, Северо-Западный федеральный округ, 194291, Россия;POINT (30.36056084249197 60.03922867539045);2022-02-23;Ямы по всей улице Руднева. Просьба провести ремонт, не ямочный, а капитальный, невозможно ездить!!;Дороги;Выборгский;ПОС;1;82.0;№ 15
447;447;Есенина ул;есенина;;улица;улица Есенина  Санкт-Петербург Россия;['улица Есенина  Санкт-Петербург Россия'];улица Есенина  Санкт-Петербург Россия;улица Есенина;улица Есенина, Шувалово-Озерки, округ Сергиевское, Санкт-Петербург, Северо-Западный федеральный округ, 194295, Россия;POINT (30.338279597411777 60.04695236003542);2022-02-23;Катастрофическое состояние асфальта на всей улице Есенина, приходится маневрировать вокруг ям, выезжая на встречную полосу, просьба провести ремонт дороги, не ямочный, а капитальный, после зимы ямы стали ещё больше. Спасибо!;Дороги;Выборгский;ПОС;1;74.0;Парнас
465;465;Наличная ул 22;наличная;22;улица;Наличная улица 22 Санкт-Петербург Россия;['Наличная улица 22 Санкт-Петербург Россия'];Наличная улица 22 Санкт-Петербург Россия;Наличная улица;22, Наличная улица, Гавань, округ Гавань, Санкт-Петербург, Северо-Западный федеральный округ, 199406, Россия;POINT (30.23292271579945 59.93748015);2022-02-23;Мешки с мусором лежат постоянно прямо на тротуаре, рядом с домом на Наличной, 22.около входа в аптеку Озерки.;Отходы;Василеостровский;ПОС;1;38.0;Гавань
467;467;Руставели ул 59;руставели;59;улица;улица Руставели 59 Санкт-Петербург Россия;['улица Руставели 59 Санкт-Петербург Россия'];улица Руставели 59 Санкт-Петербург Россия;улица Руставели;Лемана про, 59, улица Руставели, округ № 21, Санкт-Петербург, Северо-Западный федеральный округ, 195299, Россия;POINT (30.43450230064532 60.02744505);2022-02-23;Добрый день. На улице Руставели 59 при въезде в карман на дороге не обирают наледь с дороги уже больше 3 недель , из-за этого участок дороги становится очень опасный и машинам не разъехаться, просьба большая направить это обращение к контролирующим этот участок службу, прикладываю фото наледи .;Дороги;Калининский;ПОС;1;94.0;№ 21
468;468;Песочный Пионерская ул;песочный;;улица;Песочный переулок  Санкт-Петербург Россия;['Песочный переулок  Санкт-Петербург Россия'];Песочный переулок  Санкт-Петербург Россия;Песочный переулок;Песочный переулок, Горелово, округ Горелово, Санкт-Петербург, Северо-Западный федеральный округ, 198323, Россия;POINT (30.14413393320029 59.77945318296553);2022-02-23;Улицу не чистят от снега. На дороге наледи. Антигололедными средствами улица не обрабатывается.;Дороги;Курортный;ПОС;1;18.0;Горелово
469;469;Переведенская ул;переведенская;;улица;Переведенская улица  Санкт-Петербург Россия;['Переведенская улица  Санкт-Петербург Россия'];Переведенская улица  Санкт-Петербург Россия;Переведенская улица;Переведенская улица, Пулковское, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 196605, Россия;POINT (30.37968319599695 59.753641239022535);2022-02-23;Очень скользко на тротуаре.;Дороги;Пушкинский;ПОС;1;23.0;Шушары
472;472;Комендантский пр-т 9;комендантский;9;;Комендантский проспект 9 Санкт-Петербург Россия;['Комендантский проспект 9 Санкт-Петербург Россия'];Комендантский проспект 9 Санкт-Петербург Россия;Комендантский проспект;9, Комендантский проспект, Озеро Долгое, округ Озеро Долгое, Санкт-Петербург, Северо-Западный федеральный округ, 197227, Россия;POINT (30.26301984279476 60.00566165);2022-02-23;Совершенно не очищен от наледи тротуар у дома 9 по Комендантскому проспекту;Дороги;Приморский;ПОС;1;50.0;Озеро Долгое
473;473;Ильюшина ул;ильюшина;;улица;улица Ильюшина  Санкт-Петербург Россия;['улица Ильюшина  Санкт-Петербург Россия'];улица Ильюшина  Санкт-Петербург Россия;улица Ильюшина;улица Ильюшина, Озеро Долгое, округ Озеро Долгое, Санкт-Петербург, Северо-Западный федеральный округ, 197372, Россия;POINT (30.240792598525214 60.00930908864468);2022-02-23;Администрация Приморского района так не хотела ставить ограждение газона, отправляла всех в непонятном направлении, не реагировала на обращение Фонтанки, что теперь газон после оттепели начали развозить колесами. И делают это все клиенты клиники Скандинавия, которая из-за своей жадности не предусмотрела парковку для своих клиентов и сотрудников.;Дороги;Приморский;ПОС;1;50.0;Озеро Долгое
485;485;Гжатская ул;гжатская;;улица;Гжатская улица  Санкт-Петербург Россия;['Гжатская улица  Санкт-Петербург Россия'];Гжатская улица  Санкт-Петербург Россия;Гжатская улица;Гжатская улица, Гражданка, округ Академическое, Санкт-Петербург, Северо-Западный федеральный округ, 195220, Россия;POINT (30.38588149788793 60.00837281727716);2022-02-23;Сорвало знак. Может полностью оторвать. И повредить машины или людей;Транспорт;Калининский;ПОС;1;85.0;Академическое
495;495;Пролетарская ул 62к3;пролетарская;;улица;Пролетарская улица  Санкт-Петербург Россия;['Пролетарская улица  Санкт-Петербург Россия'];Пролетарская улица  Санкт-Петербург Россия;Пролетарская улица;Пролетарская улица, Сергиево, округ Константиновское, Санкт-Петербург, Северо-Западный федеральный округ, 198218, Россия;POINT (30.09402591711954 59.82922421624111);2022-02-23;Несколько дней не вывозится мусор, гора растёт!;Отходы;Колпинский;ПОС;1;19.0;Константиновское
499;499;Туристская ул 28к5;туристская;;улица;Туристская улица  Санкт-Петербург Россия;['Туристская улица  Санкт-Петербург Россия'];Туристская улица  Санкт-Петербург Россия;Туристская улица;Туристская улица, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197082, Россия;POINT (30.210707585085345 60.00404379071767);2022-02-23;Не убирается мусор;Отходы;Приморский;ПОС;1;36.0;№ 65
500;500;Полевая ул 25;полевая;25;улица;Полевая улица 25 Санкт-Петербург Россия;['Полевая улица 25 Санкт-Петербург Россия'];Полевая улица 25 Санкт-Петербург Россия;Полевая улица;25, Полевая улица, Лахта, округ Лахта-Ольгино, Санкт-Петербург, Северо-Западный федеральный округ, 197229, Россия;POINT (30.170937499999997 59.994603850000004);2022-02-23;У нас частный дом в посёлке Александровская Пушкинского района города Санкт-Петербурга. После мусорной реформы от 01.01.2022, из нашего собственного контейнера, который переполнен до краев, мусор никто не вывозит. Соответственно, уже 2 месяца мы не знаем, что делать с этой проблемой и куда нам носить наш новый мусор, учитывая, что в радиусе даже 1 километра, организованные мусорные контейнеры отсутствуют. По правилам СанПиН, мусорный контейнер должен располагаться на расстоянии от 20 до 100 метров. Самое поразительное то, что в квитанции за январь, нам в счёт была включена услуга НЭО, в размере 320р. Но данная услуга нам не оказывается! Прошу разъяснить сложившуюся ситуацию.;Отходы;Пушкинский;ПОС;1;21.0;Лахта-Ольгино
502;502;Мечникова ул 11;мечникова;11;улица;улица Мечникова 11 Санкт-Петербург Россия;['улица Мечникова 11 Санкт-Петербург Россия'];улица Мечникова 11 Санкт-Петербург Россия;улица Мечникова;11, улица Мечникова, Просвещение, Петергоф, Санкт-Петербург, Северо-Западный федеральный округ, 198504, Россия;POINT (29.853973849421415 59.89377745);2022-02-23;7 парадная. Постоянно ломается лифт. Сейчас снова сломан. Для ЦУР: Калининский район. пр-т Мечникова д. 11.;ЖКХ;Калининский;ПОС;1;6.0;Петергоф
506;506;Тихорецкий пр-т 31к2;тихорецкий;;;Тихорецкий проспект  Санкт-Петербург Россия;['Тихорецкий проспект  Санкт-Петербург Россия'];Тихорецкий проспект  Санкт-Петербург Россия;Тихорецкий проспект;Тихорецкий проспект, Сосновка, округ Светлановское, Санкт-Петербург, Северо-Западный федеральный округ, 194064, Россия;POINT (30.367465416773445 60.01717380088205);2022-02-23;Добрый день! Второй раз за этот месяц ЖКС 2 вешает такие объявления по адресу Тихорецкий 31/2. Первый раз данное объявление было повешено об уборке 12.02.22, в этот раз уборку планировали на 22.02.22. Во дворе со стороны Тихорецкого было минимальное кол-во машин, но к уборке за весь день Жилконтора даже не притрагивалась. Интересно, проведено ли это было документально, что контора уборкой якобы «занималась» в данные дни. Требую провести проверку по данному вопросу, очень уж интересно, почему объявления у нас появляются, а обещанную зачистку так и не провели. Хотя она нам, вполне себе, нужна.;Дороги;Выборгский;ПОС;1;66.0;Светлановское
508;508;Красного Текстильщика ул 9-11;красного;;улица;"Красный переулок  Санкт-Петербург Россия;Красный мост  Санкт-Петербург Россия";['Красный переулок  Санкт-Петербург Россия', 'Красный мост  Санкт-Петербург Россия'];Красный переулок  Санкт-Петербург Россия;Красный переулок;Красный переулок, Зеленогорск, Санкт-Петербург, Северо-Западный федеральный округ, 197720, Россия;POINT (29.691743697847222 60.19767755632378);2022-02-23;В кв. 36 уже больше года длиться ремонт. Всё это время мы живём в грязи. Вся парадная включая лестницу, стены, двери квартир, почтовые ящики, окна находятся под толстым слоем строительной пыли. Т. К. Мешки с мусором рабочие скидывали с 5 этажа. А сейчас мусор просто складируется на лестнице. Хозяйка квартиры считает, что она не должна всё это за собой убирать. Просим содействия по наведению порядка и чистоты на лестнице.;ЖКХ;Центральный;ПОС;1;10.0;Зеленогорск
520;520;Маяковского ул 45;маяковского;45;улица;улица Маяковского 45 Санкт-Петербург Россия;['улица Маяковского 45 Санкт-Петербург Россия'];улица Маяковского 45 Санкт-Петербург Россия;улица Маяковского;45 к2, улица Маяковского, Левашово, Санкт-Петербург, Северо-Западный федеральный округ, 194361, Россия;POINT (30.21349305 60.09740395);2022-02-23;"Паркоматы работают через один. Клавиатура вся стёрта, приходится догадываться где кнопка ""подтвердить"". Прошу привести паркоматы в рабочее состояние и заменить клавиатуры на всей территории платной парковки.";Транспорт;Центральный;ПОС;1;24.0;Левашово
