;text
21;"Шестая часть спелл-крафт серии магов 📖🔮 Epic Spell Wars of the Battle Wizards: Anarchy at the Arena 🔥 в предзаказе на сайте разрабов!

Локализация, скорее всего, будет, но вряд ли раньше зимы 😤 В общем, ждём... 

А кто не хочет ждать, то вот (релиз в августе):
https://cryptozoic.com/products/epic-spell-wars-of-the-battle-wizards-anarchy-at-the-arena?mc_cid=44dcc451fd&mc_eid=f554b84ca4"
22;Вроде уже мелькали, но глянем ещё раз на несколько новеньких карт 🤗
23;"На сайте Cryptozoic открыт предзаказ на обычную версию Epic Spell Wars of the Battle Wizards: Annihilageddon 3 - Satanic Panic 😈
Дата выхода: август 2024
https://cryptozoic.com/products/epic-spell-wars-of-the-battle-wizards-annihilageddon-3-satanic-panic?mc_cid=8fa1e42fdd&mc_eid=f554b84ca4
🔥🔥🔥🔥
Нас ждут новые планшеты 🎩волшебников с их фамильярами и... с книгами заклинаний 📖 (да, это новый тип карт!), море новых жетонов дохлых колдунов 💀, возможность сыграть за Сотону, у которого огромный планшет, свои карты формата таро и пачка его банды демонов, куда ж без них 
🔥🔥🔥🔥
Так же вернулись легенды с групповыми атаками - легендарные демоны, ну и, конечно, новенькие карты основной колоды и адские беспределы. 
Мда, горячо. Самое неприятное, что локализацию неизвестно когда ждать 👿"
24;"Кстати, тут было обновление, в котором прикрепили руководство, как быть Сoтоной. Да, в третьем Крутагидоне можно будет за него играть, т.е. будет режим все против одного (или же всё равно все против всех, м?))
Рассылка кикстартерная начнётся в июне, как и говорили раньше.
Есть такие, кто вписывался в кампанию на кике по этой части?

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4103571?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
25;"Третья часть Крутагидона, 6 часть Битв Магов (спелл-крафт серия) и тома для хранения готовы! 
Завершился производственный процесс, и готовится отправка по всему миру. Ожидается, что все получат свои посылки в июле.

ВАЖНО, если кто вписывался на этот кикстартер: до 15 июня проверить адреса на BackerKit. Если ваш адрес изменился с тех пор, как вы заполнили анкету, обновите его как можно скорее.

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4099456?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
26;"В поисках главного приза, можно и из базового Крутагидона.
Может пропадет кто-то?
Также буду признателен, если поделитесь моделью для 3-D принтера"
27;"Может нужен кому ориг на английском кикстартерный?
Пишите в лс группы
(закинуто в обсуждение покупка/продажа)"
28;"В этот раз новость не в праздничный день, видимо, поэтому не очень хорошая.
На вопрос к издательству HW о локализации новых частей нашей говн... любимой игры, получил такой ответ (кстати, ответ дождался только спустя 4 недели 🐢). 

Лично я думаю, что и 3-й Крутагидон локализуют в итоге, но не раньше, чем через год."
29;"Интересно, апдейты приходят на праздники 😀
Ещё порция новых образцов)
На этот раз Epic Spell Wars: Anarchy at the Arena - шестая карточная игра серии по созданию заклинаний. Нас ждут не только новенькие привычные карты для заклинаний и сокровища, но и совершенно новые карты чемпионов, жетоны аплодисментов, раллийные карты, которые влияют на толпу.

Так же первые образцы Epic Spell Wars: Tome of Defecation Unification - ящик для хранения всех шести игр по создания заклинаний в коробке с магнитной защелкой и чехлом. (В этом образце нет всех флуоресцентных расцветок и причудливой фольги, которые будут в финальной версии).

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4035475?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
30;"С 14 февраля 🖤 - с днём новостей по третьему Крутагидону! 😈
Кратко: производство продолжается (пока пауза из-за китайского Нового года), но разработчики ожидают, что производство закончится в марте, а всё готовое рассылать по миру начнут в июне 📜

А пока фоточки заводских образцов (ещё нет блестящих эффектов на коробке и некоторых картах)

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4028200?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
31;"Здравствуйте. Думаю такой вопрос уже не раз задавался, но посоветуйте, пожалуйста, какую часть игры купить? (не колодостроительные версии)
Была раньше версия Черепламени. Сейчас хочу что-нибудь интересное, с допами.
Заранее спасибо!"
32;"Вот так нейросеть увидела ""Эпичные схватки боевых магов"" 🤔"
33;Всем привет! Подскажите пожалуйста, какую часть лучше докупить с возможность замешать к Переполох в хоромах страсти? Либо же без возможности замеса какая интереснее?
34;"Здравствуйте.Можете пожалуйста объяснить, как и где получать планшеты к промо картам и есть ли какие либо другие промки помимо фамильяров, промо легенды или промо сокровища.У меня 1 часть Крутагидона и очень бы хотелось поиграть с промо картами.
Есть ли ещё промки в других дополнениях."
35;Здравствуйте! Подскажите какой порядок выхода у игр? Не могу найти информацию. Хочу по порядку покупать настолку)
36;Всем привет, довелось поиграть с друзьями в Эпичные схватки боевых магов: Битва на горе Черепламени, теперь хочу приобрести уже собственную игру. Буду очень рад, если посоветуете какую часть лучше взять
37;"Всем колдунам, привет! 

Нужна ваша помощь. Недавно начал заниматься переводом всего доп материала, которого в нашей стране нет. При этом появилась сложность в поиске планшетов героев.

Если у кого-то есть следующие планшеты, отправьте, пожалуйста, хорошее фото или скан:

-Sir Rulean the Cobald Conjurer - планшет колдуна с двух сторон.
-R.S. Bixby - планшет колдуна с двух сторон.
-Limpy flacid wizard - планшет колдуна с счетчиком жизней.
-Gorzo the Wicked - планшет колдуна с двух сторон.

Также прикреплю фото своих уже проделанных переводов. Эти материалы уже готовы для печати. Размер специально больше обычного, с учетом обрези станка."
38;"👑Колода легенд-сокровищ🔒
Она заменяет обычную колоду легенд
Определённых правил смешивания с Чипсихозом нет, поэтому вариантов множество 🤯
Простейший - просто добавить банды, новые жетоны и не париться 😎

Кстати! Про новые ❓жетоны дохлых колдунов☠
Некоторые ЖДК... с секретиками ☺, которые нельзя раскрывать до конца игры, кроме случаев, когда другие эффекты или сам жетон позволяет это сделать.
При подготовке берутся все 30 жетонов, хотя и советуют взять меньше, чтобы снизить страдания, но зачем, если мы тут как раз за этим? 😑"
39;"🎠Банды магангстеров🎠 
При подготовке не берутся жетоны колдунских свойств и фамильяры (не плачь, у тебя будет целая группировка) 💂💂💂 
 
В первый свой ход выбираем себе банду: берёшь карту правил банды и всех её участников - колоду магангстеров, и запираешь их на своём планшете притона, где они и тусят до призыва🏡
На карте сказано, каким образом их призывать🔊
(❕ их именно призывают, а не разыгрывают, они не считаются под контролем в игре) 
 
Призвать можно только 1 магангстера за ход (если не сказано иного), и каждый может атаковать только один раз (уже атаковавший поворачивается, чтобы самому не забыть об этом)) 
 
Магангстеры никогда не попадают к тебе на руку, в колоду или стопку сброса🚫
 
Когда подыхаешь, все они сваливают обратно в притон👋"
40;"Здарова, бандиты! 👮 
Ну что там у нас с допом, уже получили?
Рассказывайте, как впечатления)
Банды, ЖДК с секретиками, колода легендарных сокровищ, звучит опасно, но интересно😄
Правила давно в документах, не бойтесь их читать 🤓

P. S. Моя коробочка с допом ещё не получена, вопросы пишите в тему к тому крутагидону, с которым смешивали. Как  смогу - отвечу, или кто-то из уже игравших поможет (или нет 😈)"
41;Кому День Знаний 🤓, а кому день выхода в продажу дополнения к Крутагидону🤝
42;"А вот и допчик!
Перевод - моё почтение 😂😎"
43;"Смотрите какая красота)
Может, кто захочет купить, кто искал коврики"
44;"О, ребятки, поздние ставки на кикстартере третьего Крутагидона открыты до 25 апреля!
Вдруг кому-то ещё интересно)
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/3765737?ref=ksr_email_backer_project_update_registered_users"
45;Привет, есть кто с Москвы, ищем компания для совместных игр. Играем в клубе Единорог, пишите
46;Готовые переведенные фамильяры в файлах, кому нужны были? Пишите в личку
47;"Собственно, что внутри в английских версиях с кикстартера🔍😉

Вот бы в локализации тоже были такие встроенные органайзеры, а не картонка)"
48;Вот теперь всё собрал 🔥😎🔮🧀
49;"Может, кто-нибудь уже мастерил планешеты для игроков?
С местами для сброса, колоды, листом персонажа и прочим?"
50;"Держите плейматик по 3-й части Крутагидона)
https://cdn.shopify.com/s/files/1/0464/6961/1676/files/ESW_ANN3_Arena_Battle_PlayMat.png?v=1673656142

(В теме ""доп материалы"" в первом сообщении все три плеймата)"
