;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
19;2022-02-23;Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел;Дороги;Кировский;Новаторов б-р 26к2;ПОС;1
20;2022-02-23;Страшно ездить во дворе. Ещё пару дней и можно будет только на автомобиле с гусеничным движителем заехать. Реакция конечно на обращения есть, но почему нельзя это делать не после обращения, а в качестве обычной ежедневной работы, путём расстановки приоритетов, чтобы не писали люди что всё плохо. В суд подавать когда случайно из-за того, что творится во дворах, задену чей-нибудь автомобиль. Делайте для граждан, вы для этого и есть, а не граждане для вас.;Дороги;Пушкинский;Колпинское ш 28к1;ПОС;1
21;2022-02-23;В этом году ни разу не проводилась Уборка территории вокруг дома. Вся Уборка (фото прилагаю) производится силами жильцов, как и обработка ото льда. Прошу 1. разобраться какая организация не проводит вообще никаких работ и когда они начнут регулярно проводиться 2. Я не получил на своё ответное обращение связанное с необходимостью обратиться в прокуратуру с заявлением на организацию, которая прислала фото, по моему ранее оставленному заявлению на эту же тему, с отчётом об уборке совершенно от другого адреса и тем самым фальсифицировала результаты своей деятельности и возможно получила за это деньги;Дороги;Красногвардейский;6-я Жерновская ул 9к1;ПОС;1
22;2022-02-23;Не числятся проезды вдоль дома, нет посылки. За всю зиму один раз трактор проехал после нового года и все. Не посыпались ни разу. Это же невыносимо уже! Что происходит?;Транспорт;Красносельский;Красное Село;ПОС;1
23;2022-02-23;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Невский;Ольминского ул;ПОС;1
24;2022-02-23;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Приморский;Школьная ул;ПОС;1
25;2022-02-23;Колея, что кроссоверы брюхом задевают.;Дороги;Кировский;Ветеранов пр-т 114;ПОС;1
26;2022-02-23;Добрый день! Очень давно не убирали наледь и снег на дороге, во дворе пр.Непокоренных 74, со стороны пр. Непокорённых. Образовался лед и колея, становится практически невозможно проехать и припарковаться. Днище машины буквально шкрябает по ледяным наростам. Неоднократно машины застревали. Примите, пожалуйста, меры. Спасибо.;Дороги;Калининский;Непокоренных пр-т 74;ПОС;1
27;2022-02-23;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Колпинский;Ивановская ул 36;ПОС;1
28;2022-02-23;Не очищена парковка, образовалось колея в которой заостряют автомобили, вечером сильно шумят, как и днём.;Дороги;Кировский;Маршала Жукова пр-т;ПОС;1
29;2022-02-23;Снег не убран у школы 34. Не пройти не проехать;Дороги;Невский;Шотмана ул 12к3;ПОС;1
30;2022-02-23;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Невский;Шотмана ул 4;ПОС;1
31;2022-02-23;Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.;Дороги;Приморский;Гаккелевская ул 27к2;ПОС;1
32;2022-02-23;Просто не проехать! О разъезде двух автомобилей и речи нет!;Дороги;Красносельский;Добровольцев ул 18;ПОС;1
33;2022-02-23;Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!;Дороги;Красносельский;Гвардейская ул 8к2;ПОС;1
34;2022-02-23;Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!;Дороги;Красносельский;Добровольцев ул 26;ПОС;1
35;2022-02-23;Дворы просто жуть не убраны на машине проехать не возможно, с коляской просто кашмар, всё это ещё обледенело, снаружи дома почищено а двор это просто жесть;Дороги;Московский;Взлетная ул 13;ПОС;1
36;2022-02-23;Слишком высокая колейность на дороге. Если у тебя не полноприводный внедорожник, то припарковать машину без мучений не возможно . Дном машины скребешь лёд, колёса застревают в колее. Прошу с преминением спец техники снять лёд с проезжей части;Дороги;Невский;Искровский пр-т;ПОС;1
37;2022-02-23;Не убирается снег. На проезде образовалась огромная колея. Примерно 15-20 см. Создаёт трудности при парковке и иногда является причиной повреждений автомобиля.;Дороги;Фрунзенский;Южное ш;ПОС;1
38;2022-02-23;Разбитая дорога по адресу: Энергетиков дом 40/4;Благоустройство;Красногвардейский;Энергетиков пр-т;ПОС;1
39;2022-02-23;Весь проезд от Будапештской до Турку заполнен ямами. Они тут на любой вкус - от больших до огромных.;Дороги;Фрунзенский;;ПОС;1
40;2022-02-23;Дефекты покрытия. Огромные ямы;Благоустройство;Пушкинский;Ломоносова ул;ПОС;1
47;2022-02-23;Здравствуйте. Прошу разобраться почему во дворе с начала зимы не ездит трактор и не убирает снег? Образовалась такая колеия, что машина скребет днишем по льду и нет возможности припарковаться нормально.;Дороги;Красносельский;Котина ул 6к1;ПОС;1
48;2022-02-23;Во дворе дома по улице Стахановцев гололед;Дороги;Красногвардейский;Стахановцев ул;ПОС;1
49;2022-02-23;За зиму ни разу не производилась очистка внутриквартального проезда по адресу ул Народная д2 . На дорожном покрытии образовалась наледь высотой достигающей 10 см и более с колеей и провалами, по сути это чистый лед , каток с ямами по которому не возможно перемещаться как пешеходам , так и автомобилям . Мои родители -пенсионеры, моя бабушка -ветеран Великой Отечественной войны , не могут безопасно выйти из собственного дома и сходить даже в магазин за продуктами! Прошу немедленно произвести очистку данного проезда от наледи и снега !;Дороги;Невский;Народная ул 2;ПОС;1
50;2022-02-23;Во дворах Чудновского 2/11 и Кржижановского 13 и 15 не убраны дороги от снега и льда, один сплошной каток. Дороги ни чем не посыпаны. Машины буксуют из-за отсутствия уборки во дворах. Просьба очистить дороги от снега и льда во дворах.;Дороги;Невский;Чудновского ул 2/11;ПОС;1
51;2022-02-23;Во дворе Чудновского 2/11 и Кржижановского д. 13 и д. 15 не убраны дворовые дороги и ни чем не посыпаны, один сплошной каток, от остановки до дома не возможно пройти. Просьба очистить от наледи дороги во дворах.;Дороги;Невский;Чудновского ул 2/11;ПОС;1
52;2022-02-23;Управляющая компания бездействует тротуары все во льду гололёд;Дороги;Приморский;;ПОС;1
53;2022-02-23;Во дворе по адресу Красное Село ул Гвардейская 8 к2 невозможно ходить!Люди ломают руки и ноги!Машинам тоже проехать без повреждений не удаётся!Такой беспредел твориться на протяжении всей зимы!Примите пожалуйста меры!;Дороги;Красносельский;Гвардейская ул 8к1;ПОС;1
54;2022-02-23;Ледяные дороги... Подскользнулась, упала и потянула руку!!!;Дороги;Красносельский;Юных Пионеров ул;ПОС;1
55;2022-02-23;Необходимо с помощью спец техники очистить проезжую часть. Машину не могут нормально проехать, про людей вообще молчу, там просто нет для них безопасной дороги;Дороги;Невский;Искровский пр-т;ПОС;1
56;2022-02-23;Наледь. Нед посылки ПГМ.;Дороги;Красносельский;Авангардная ул;ПОС;1
57;2022-02-23;Огромная ледяная колея. Машина цепляет днищем. Идти пешком тоже невозможно из за льда.;Дороги;Пушкинский;Пушкинская ул 50;ПОС;1
58;2022-02-23;Гололед у дома по российский пр. Д.14 Не подойти ни к аптеке, ни к магазинам. Вдоль дома можно пройти только держась за стену дома. Пешеходные дорожки сплошной лед.;Дороги;Невский;Российский пр-т 14;ПОС;1
59;2022-02-23;Не чистится проезд между домами 9 и 13 по ул.Чудновского, вот уже 8 дней. Не пройти, и не проехать.;Дороги;Невский;Чудновского ул 9;ПОС;1
60;2022-02-23;Не чистят снег, гололед вокруг дома 13 по ул. Чудновского. Пешеходы падают, как кегли.;Дороги;Невский;Чудновского ул 13;ПОС;1
66;2022-02-23;Очень глубокая яма. При оттепели она заполняется водой и ее не видно. Можно сильно повредить колесо.;Дороги;Красносельский;Таллинское ш;ПОС;1
67;2022-02-23;Автомобильные выезды из нашего квартала(от дома по адресу Бухарестская 31-5) на улицу Турку или на улицу Будапештская в ужасающем состоянии. Огромные ямы в асфальте,в которых скапливается вода,лужи,грязь. Самое интересно,что 4 года назад эти выезды ремонтировались. Но ремонт был выполнен некачественно крайне. Нужно найти исполнителей ,должна же быть какой-то гарантийный срок.. Безобразие;Дороги;Фрунзенский;Бухарестская ул 31;ПОС;1
68;2022-02-23;Здравствуйте. Разбита дорога на внутриквартальном проезде между домами Союзный 10 и 8 к.1 на выезде на сам Союзный проспект. На самом проспекте также огромные ямы требующие срочного ремонта. Прошу не писать отписок и оперативно провести ремонт, временную подсыпку до основного ремонта.;Дороги;Невский;Союзный пр-т;ПОС;1
69;2022-02-23;Ямы на дороге! На протяжении всего Загородного проспекта есть глубокие ямы. На фото участок дороги на Загородном проспекте 16. На фотографиях виден масштаб.;Дороги;Центральный;Загородный пр-т;ПОС;1
70;2022-02-23;Большая яма на дороге.;Дороги;Кировский;Соломахинский пр-д;ПОС;1
71;2022-02-23;От лица коллектива Оллфолейблс Рус и себя лично, прошу отремонтировать дорогу по адресу СПб, Красносельский район, Петергофское шоссе 73. На участке от железнодорожных путей до Петергофского шоссе 73 лит А , протяженностью 200 метров сплошные ямы . Глубина ям составляет от 10 до 27 см ( фото прилагается). Количество ям устрашает пешеходов и автолюбителей. Я лично вчера проехал по луже, которая прикрыла яму, после чего мне разорвало покрышку и согнуло колесный диск на автомобиле. После чего я понес существенные финансовые потери. Ежедневно автомашины увозят на эвакуаторах после попадания машин в ямы. Как эти ямы только не ремонтировали, засыпали камнями, закладывали кирпичами, даже заливали БЕТОНОМ!!!!( фото прилагается). Прошу отремонтировать данный участок с соблюдением всех технологий укладки асфальта.;Дороги;Красносельский;Петергофское ш 73;ПОС;1
72;2022-02-23;Дорога вся в глубоких ямах. От талого снега ямы заполнились водой и не видно куда ехать. Та часть, которая не в ямах покрыта огромным количеством льда, машины застревают и не могут проехать.;Дороги;Приморский;Комендантский пр-т;ПОС;1
73;2022-02-23;Ямы на Огородном переулке, ориентир Трефолева 4к1.;Дороги;Выборгский;Огородный пер;ПОС;1
74;2022-02-23;Ямы по всей улице Руднева. Просьба провести ремонт, не ямочный, а капитальный, невозможно ездить!!;Дороги;Выборгский;Руднева ул;ПОС;1
75;2022-02-23;Катастрофическое состояние асфальта на всей улице Есенина, приходится маневрировать вокруг ям, выезжая на встречную полосу, просьба провести ремонт дороги, не ямочный, а капитальный, после зимы ямы стали ещё больше. Спасибо!;Дороги;Выборгский;Есенина ул;ПОС;1
91;2022-02-23;Мешки с мусором лежат постоянно прямо на тротуаре, рядом с домом на Наличной, 22.около входа в аптеку Озерки.;Отходы;Василеостровский;Наличная ул 22;ПОС;1
97;2022-02-23;Добрый день. На улице Руставели 59 при въезде в карман на дороге не обирают наледь с дороги уже больше 3 недель , из-за этого участок дороги становится очень опасный и машинам не разъехаться, просьба большая направить это обращение к контролирующим этот участок службу, прикладываю фото наледи .;Дороги;Калининский;Руставели ул 59;ПОС;1
98;2022-02-23;Улицу не чистят от снега. На дороге наледи. Антигололедными средствами улица не обрабатывается.;Дороги;Курортный;Песочный Пионерская ул;ПОС;1
110;2022-02-23;Очень скользко на тротуаре.;Дороги;Пушкинский;Переведенская ул;ПОС;1
113;2022-02-23;Стачек 75 очень скользко, опять никто не убирает лёд и не посыпает ничем;Дороги;Кировский;Стачек пр-т;ПОС;1
114;2022-02-23;Совершенно не очищен от наледи тротуар у дома 9 по Комендантскому проспекту;Дороги;Приморский;Комендантский пр-т 9;ПОС;1
270;2022-02-23;Администрация Приморского района так не хотела ставить ограждение газона, отправляла всех в непонятном направлении, не реагировала на обращение Фонтанки, что теперь газон после оттепели начали развозить колесами. И делают это все клиенты клиники Скандинавия, которая из-за своей жадности не предусмотрела парковку для своих клиентов и сотрудников.;Дороги;Приморский;Ильюшина ул;ПОС;1
271;2022-02-23;Сорвало знак. Может полностью оторвать. И повредить машины или людей;Транспорт;Калининский;Гжатская ул;ПОС;1
272;2022-02-23;Из контейнерной площадки по адресу Лиговский проспект, 114 лит Г плохо вывозят мусор. Постоянно переполненные баки.;Отходы;Центральный;Лиговский пр-т 114Г;ПОС;1
273;2022-02-23;"УК ООО ""Космосервис третья"". Адрес: Санкт-Петербург ул летчика лихолетова 14/2 На огромный двор с 4-мя домами две мусорки, и те в ужасном состоянии. Мусор валяется и не убирается под баками. Плюс наледь горбом. Около Мусорки даже песком не посыпано. Попробуй, подойди и не сломай ноги. Жители неоднократно видели бегающих мышей. И это новый дом, где толпы народу живут и коммуналку платят.";Отходы;Красносельский;Летчика Лихолетова ул 14к2;ПОС;1
274;2022-02-23;Переполнение мусорного контейнера. Не вывозится КГМ.;Отходы;Красносельский;Лигово;ПОС;1
275;2022-02-23;Несколько дней не вывозится мусор, гора растёт!;Отходы;Колпинский;Пролетарская ул 62к3;ПОС;1
276;2022-02-23;Добрый день, мусор в жк палаццо не вывозится неделями, создаёт антисанитарные условия. Обращения в управляющую компанию не дают результат. Прошу оперативно решить проблему.;Отходы;Василеостровский;26-я линия ВО 7;ПОС;1
277;2022-02-23;Во дворе дома по адресу пр Обуховской Обороны, 243, Огромный мусорный контейнер не вывозят несколько месяцев! Когда уберут этот мусор из двора?;Отходы;Невский;Обуховской Обороны пр-т 243;ПОС;1
278;2022-02-23;Управляющая компания вывозит мусорные баки прямо перед парадными задолго до вывоза мусора и мы все это время ходим мимо гор мусора. Сегодня же вывоз мусора вообще не состоялся и эти горы стоят день с самого утра. Прилагаю несколько фото, но такое происходит у каждой парадной нашего дома.;Отходы;Василеостровский;26-я линия ВО 7;ПОС;1
279;2022-02-23;Не убирается мусор;Отходы;Приморский;Туристская ул 28к5;ПОС;1
280;2022-02-23;Недавно я болела и вызывала 24.01.2022 врача по номеру 122. Врач не приехал, когда мне стало лучше,а именно 31.01.2022 я пришла в 88 поликлинику. Меня не выписали, но открыли больничный с даты вызова врача, т е вызывала я его 24го , 25го я не пошла на работу. Сейчас узнала, что больничный был открыт с 26го. Можете вы поднять история вызова врача по номеру 122 24 января по адресу Петергофское шоссе дом 59 кВ 265 для Голубевой Анны. Нужно исправить дату открытия больничного листа . Спасибо;Здравоохранение;Кировский;;ПОС;1
281;2022-02-23;У нас частный дом в посёлке Александровская Пушкинского района города Санкт-Петербурга. После мусорной реформы от 01.01.2022, из нашего собственного контейнера, который переполнен до краев, мусор никто не вывозит. Соответственно, уже 2 месяца мы не знаем, что делать с этой проблемой и куда нам носить наш новый мусор, учитывая, что в радиусе даже 1 километра, организованные мусорные контейнеры отсутствуют. По правилам СанПиН, мусорный контейнер должен располагаться на расстоянии от 20 до 100 метров. Самое поразительное то, что в квитанции за январь, нам в счёт была включена услуга НЭО, в размере 320р. Но данная услуга нам не оказывается! Прошу разъяснить сложившуюся ситуацию.;Отходы;Пушкинский;Полевая ул 25;ПОС;1
284;2022-02-23;"В Колпинском районе г. СПб по адресу бульвар Трудящихся дом 17, рядом с домом находится место для сбора мусора, который не вывозят регулярно, а кроме всего мусор разбросан вокруг контейнера и разносится ветром ещё дальше. Зрелище жуткое, антисанитария полная, территория превратилась в ""свинарник"". Сколько может это продолжаться!??? Огромная просьба наладить регулярный вывоз мусора и очистку прилегающей территории!!!";Отходы;Колпинский;Трудящихся б-р 17;ПОС;1
286;2022-02-23;7 парадная. Постоянно ломается лифт. Сейчас снова сломан. Для ЦУР: Калининский район. пр-т Мечникова д. 11.;ЖКХ;Калининский;Мечникова ул 11;ПОС;1
289;2022-02-23;Не работает информационное табло прибытия общественного транспорта. Прошу принять меры для восстановления его работоспособности.;Транспорт;Невский;Лиговский пр-т;ПОС;1
292;2022-02-23;В 1-м подъезде по адресу: ул.Ярослава Гашека лом 12/100 по несколько месяцев не убирается 1-ый этаж, лестница убиралась только год назад! стены и углы - с грязью. Фото прилагаю, и так на каждом этаже. На жалобы УК ЖКС 3 не реагирует. Просьба принять соответствующие меры.;ЖКХ;Фрунзенский;Ярослава Гашека ул 12/100;ПОС;1
293;2022-02-23;темнота, ни одного фонарного столба;Энергетика;Невский;Евдокима Огнева ул;ПОС;1
294;2022-02-23;Добрый день! Второй раз за этот месяц ЖКС 2 вешает такие объявления по адресу Тихорецкий 31/2. Первый раз данное объявление было повешено об уборке 12.02.22, в этот раз уборку планировали на 22.02.22. Во дворе со стороны Тихорецкого было минимальное кол-во машин, но к уборке за весь день Жилконтора даже не притрагивалась. Интересно, проведено ли это было документально, что контора уборкой якобы «занималась» в данные дни. Требую провести проверку по данному вопросу, очень уж интересно, почему объявления у нас появляются, а обещанную зачистку так и не провели. Хотя она нам, вполне себе, нужна.;Дороги;Выборгский;Тихорецкий пр-т 31к2;ПОС;1
295;2022-02-23;Обещали в январе сделать окна а так никто ничего не сделал, как были они открыты так и остались открыты. За что платим деньги????;ЖКХ;Фрунзенский;Ярослава Гашека ул 4к3;ПОС;1
296;2022-02-23;Добрый день Я недавно болел ковидом У меня на госуслугах не появился QR-код Мои данные Подгорышев Андрей Викторович 05.02.2022 Полис в пос.Ленсоветовский.;Здравоохранение;Пушкинский;Ленсоветовский;ПОС;1
297;2022-02-23;В кв. 36 уже больше года длиться ремонт. Всё это время мы живём в грязи. Вся парадная включая лестницу, стены, двери квартир, почтовые ящики, окна находятся под толстым слоем строительной пыли. Т. К. Мешки с мусором рабочие скидывали с 5 этажа. А сейчас мусор просто складируется на лестнице. Хозяйка квартиры считает, что она не должна всё это за собой убирать. Просим содействия по наведению порядка и чистоты на лестнице.;ЖКХ;Центральный;Красного Текстильщика ул 9-11;ПОС;1
298;2022-02-23;"Паркоматы работают через один. Клавиатура вся стёрта, приходится догадываться где кнопка ""подтвердить"". Прошу привести паркоматы в рабочее состояние и заменить клавиатуры на всей территории платной парковки.";Транспорт;Центральный;Маяковского ул 45;ПОС;1
304;2022-02-23;02.02.22 в поликлинике 95 Колпинского района сдавала тест на Ковид! Ответа до сих пор нет. Ходила лично в поликлинику, взяли номер телефона, сказали, что позвонят, как вопрос решится, звонка нет до сих пор. Ранее уже была написана жалоба 175018971 от 05.02.2022 от поликлиники получила «отписку», что якобы сделан повторный запрос в лабораторию, ответа так же нет. ГДЕ МОЙ Qr код?;Здравоохранение;Колпинский;;ПОС;1
308;2022-02-23;Перекресток Суздальского и Светлановского. Светофор до сих пор не работает. Очередная авария и разбитые машины. Пора бы починить!!!;Транспорт;Калининский;;ПОС;1
310;2022-02-23;Не производится уборка наледи во дворе дома по адресу ул.Чудновского дом 1. Проезжающие автомобили уже цепляют днищем слой льда из-за образовавшейся колеи. Пешеходы вынуждены передвигаться по колее, рискуя травмами. Никакой обработки песком гололеда не производится, состояние двора опасно для людей;ЖКХ;Невский;ул;ПОС;1
312;2022-02-23;В новом ЖК «Живи в курортном» происходит невыполнение управляющей компанией многоквартирного дома минимальных услуг по обеспечению дома. В разных парадных протечки, которые приводят к образованию ржавчин и коррозий материалов и в последствии образованию плесени в вентиляционных шахтах. В парадных запах сырости/канализации/гниения, в квартире ( ванная/туалет/кухня) из раковины/ вентиляционных шахт летят насекомые, появляющиеся в сырых местах и запах канализации.;ЖКХ;Выборгский;Песочный Садовая ул 81стр1;ПОС;1
313;2022-02-23;На протяжении недели наблюдаю неудовлетворительную уборку пешеходных дорожек на пешеходной зоне на улице Турку от Бухарестской до Будапештской улиц. В чем проблемы? Нет песка посыпать дорожки, нет техники или горючего для неё? Нет личного состава в подразделениях службы? Да именно службы, которая подразумевает перечень необходимых действий для выполнения поставленных задач. Когда работать начнут? Или уже весна на носу, само всё растает?;Дороги;Фрунзенский;;ПОС;1
315;2022-02-23;Санкт-Петербург, Колпино, ул. Павловская д17. Повалились 2 сточные трубы, вода течёт по стене, куски трубы висят в воздухе, могут упасть на прохожих.;ЖКХ;Колпинский;Колпино Павловская ул 17;ПОС;1
316;2022-02-23;Добрый день. Возмущению нет предела ! Пишу каждую неделю, а проблема не решается! Присылают отчет о проделанной работе в чужих дворах! Не на моей улице! Гололед и колии уже выше щиколотки! Дети падают,машинам не припарковаться! В соседнем доме вычислили до асфальта(Добровольцев 24) а в добровольцев 26 как был ужас внутри двора так и остался! Очистить дорогу до асфальта! И фотоотчет сс нашим домом,а не чужим;ЖКХ;Красносельский;Добровольцев ул 26;ПОС;1
317;2022-02-23;"Добрый день. Дом по адресу : проспект Луначарского 84к4 постройки 1988 года. С этого момента фановая труба не менялась. В августе месяце приходил Ваш сантехник и сказал, цитирую ""раз не лопнуло, то и менять ничего не надо"". Посмотрите сами на состояние трубы и какой будет ущерб, если она в любой момент лопнет. Халатное отношение сотрудников ЖКС 1, срок службы данной трубы 30 лет.";ЖКХ;Калининский;Светлановский пр-т 54Г;ПОС;1
318;2022-02-23;"Добрый день! Дом постройки 1988,с этого момента труба не менялась. В августе месяце был вызван сантехник из жилкомсервиса 1, для осмотра и регистрации факта изношености трубы. На что сантехник сказал, что цитирую ""раз ничего не лопнуло, то менять и не надо"". Данная труба может лопнуть в любой момент и затопить соседей снизу, что приведёт к дорогому ремонту. ЖКС 1 халатео относится к своим прямым обязанностям.";ЖКХ;Калининский;Луначарского пр-т 84к4;ПОС;1
319;2022-02-23;Данное заведение регулярно сливает отходы своей деятельности на соседний участок нарушение всех санитарных норм, нечистоты стекают по всему участку попадают в дренажную канаву и дальше в дренажную систему города. Прошу проверить есть ли у них реальное подключение к канализации, свидетелями слива являются более 15 жилых домов. К система водоснабжения в нашем районе очень старая Мы переживаем что нечистоты могут попасть в систему водоснабжения.;Энергетика;Петродворцовый;Петергоф Санкт-Петербургское ш 121к2;ПОС;1
320;2022-02-23;Реклама на водосточных трубах;ЖКХ;Московский;Пулковская ул 15;ПОС;1
322;2022-02-23;Отсутствует козырёк над парадной у дома по Костромскому 42, 3я парадная. У соседних парадных этого же дома он есть. Фото прилагаю. Крыша у дома покатая, в оттепель с неё падает снег, это не безопасно! Страшно стоять около парадной зимой, а летом под дождём мокнуть.;ЖКХ;Центральный;Костромская ул 42;ПОС;1
323;2022-02-23;Требуется ремонт фасада, у парадной во дворе.;ЖКХ;Центральный;Рылеева ул 11Б;ПОС;1
324;2022-02-23;Заблокирован проход по тротуару кучей льда и снега.;Дороги;Выборгский;ЖК Северная Долина Федора Абрамова ул;ПОС;1
325;2022-02-23;Заблокирован проход по тротуару кучей льда и снега.;Дороги;Выборгский;ЖК Северная Долина Федора Абрамова ул;ПОС;1
326;2022-02-23;Заблокирован проход по тротуару кучей льда и снега.;Дороги;Выборгский;ЖК Северная Долина Федора Абрамова ул;ПОС;1
327;2022-02-23;Требуется ремонт брусчатки под трубой водостока;ЖКХ;Центральный;Рылеева ул 11Б;ПОС;1
329;2022-02-23;Незаконная рекламная конструкция;Благоустройство;Центральный;Кирочная ул 19;ПОС;1
330;2022-02-23;В доме по адресу пр Обуховской Обороны, 243, подъезд 4, открыта дверь выхода на крышу. Этим пользуются дети, они заходят в подъезд и выходят на крышу! Это угрожает из безопасности! Необходимо закрыть выход на крышу на замок.;ЖКХ;Невский;Обуховской Обороны пр-т 243;ПОС;1
331;2022-02-23;"г. Кронштадт перекрёсток пр. Ленина и ул. Гражданская, введён в эксплуатацию светофорный объект, все светофоры типа Т1 по ГОСТ 52289-2019. Не учтёно, что ул. Гражданская является односторонней к пр. Ленина. В связи с чем светофоры по пр. Ленина (направление движения от ул. Флотской) должны быть в исполнении Т2 со стрелками ""прямо и налево"".";Транспорт;Кронштадтcкий;Гражданская ул;ПОС;1
332;2022-02-23;4.2.2022 при очистке крыши дома 52 по ул.Бабушкина от снега и наледи, в моей квартире 15 (последний этаж) было разбито балконное окно, о чем я сразу же 4.2.2022 в 15.00 информировала аварийно-диспетчерскую службу УК – ООО ЖКС 2 Невского р-она. В ответ 23.2.2022! мною получен некорректный ответ и УК, нарушающий нормы законодательства РФ, а также с нарушением сроков ответа по подобному обращению, а именно, мне было сообщено, что очистку кровли в соответствии с контрактом между УК и сторонней организаций, производило ИП Хангану И. (ОГРНИП 317784700151816) и все проблемы я должна решать с данной организацией. 1) у меня есть договорные отношения только с УК – ООО ЖКС 2 Невского р-она 2) срок принятия мер по проблеме в зимний период – 24 часа, что было нарушено (понятно, что жить с разбитым окном я не могу и ремонт произвела за свой счет). Никаких извинений и т.п. от ООО ЖКС 2 Невского р-она мною также не получено. ПРОШУ обратить внимание на систематическое уклонение ООО ЖКС 2 Невского р-она от выполнения договорных обязательств, некачественное оказание услуг, некорректное поведение сотрудников и т.п. и рассмотреть целесообразность наличие у данной организации лицензии на оказание жилищно-коммунальных услуг по обслуживанию МКД.;ЖКХ;Невский;Бабушкина ул 52;ПОС;1
