;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
30302;2022-04-19;На 1 фото - типичная очень грязная ул. Лиственная, которая убирается очень редко, только по запросу. На 2 фото - ответ, полученный на вопрос, кто должен убирать улицу. Почему Администрация Выборгского района не организовывает уборку улицы на постоянной основе?;Дороги;Выборгский;Лиственная ул;ПОС;1
30303;2022-04-19;Требуется уборка.;Дороги;Невский;Караваевская ул;ПОС;1
30307;2022-04-19;Мусор у почты по адресу Санкт-Петербург, Пушкин, бульвар Алексея Толстого 5А;Отходы;Пушкинский;Алексея Толстого б-р;ПОС;1
30309;2022-04-19;Необходимо очистить улицу от песка и грязи;Дороги;Кировский;Маршала Говорова ул;ПОС;1
30310;2022-04-19;Прошу убрать песок с тротуара;Дороги;Петродворцовый;Новые Заводы ул;ПОС;1
30311;2022-04-19;Прошу убрать песок с тротуара;Дороги;Петродворцовый;Новые Заводы ул;ПОС;1
30312;2022-04-19;Голубиный помет, грязь, песок. Люди разбрасывают куски еды по аллее.;Дороги;Центральный;Чернышевского пр-т;ПОС;1
30313;2022-04-19;Необходимо очистить улицу от мусора;Отходы;Центральный;Итальянская ул;ПОС;1
30314;2022-04-19;Все велосипедные дорожки и вся пешеходная часть набережной реки Карповка в грязи, мусоре и песке с гравием. Необходима уборка.;Дороги;Петроградский;;ПОС;1
30319;2022-04-19;Тротуар вдоль Вавиловых 15 к1, 11 к2 и далее вдоль улицы Вавиловых до дома 3 к1 - очень грязно, заведено песком. Просьба поскорее убрать;Дороги;Калининский;Вавиловых ул;ПОС;1
30320;2022-04-19;Штурманская 34, вдоль всего дома, весь тротуар засыпан песком, мусором, прошлогодней листвой. В Авиагородке вообще не работают дворники, всё очень не ухожено, УК Пулковская усадьба просто плюет на жителей Авиагородка;Отходы;Московский;Штурманская ул 34;ПОС;1
30321;2022-04-19;Не убран тротуар.;Отходы;Приморский;Яхтенная ул 42;ПОС;1
30322;2022-04-19;Много песка и камней на тротуаре рядом с остановкой. Прошу убрать песок и камни.;Дороги;Калининский;Тимуровская ул;ПОС;1
30323;2022-04-19;В жилой квартал граффити из ближайшей школы, а так же зачастую от остановки чтобы не обходить весь квартал люди ходят по кратчайшему пути И эта дорога в плохом состоянии. Вокруг куча мусора и он не убирается, лестница в удовлетворительном состоянии. Об этом проходе снимался сюжет для ТВ Просьба уже решить проблему с выездом и входом/выходом из района до остановки. На фото видно, что там поток людей. А организации прохода нет. Машины выезжают из одного проезда, и это на весь квартал граффити. Проблема не решается годами;Благоустройство;Приморский;;ПОС;1
30324;2022-04-19;Прошу удалить граффити в подземном переходе;Дороги;Адмиралтейский;Митрофаньевское ш;ПОС;1
30325;2022-04-19;Прошу удалить граффити со стекол подземного перехода;Дороги;Адмиралтейский;Митрофаньевское ш;ПОС;1
30326;2022-04-19;Прошу удалить граффити на выходе из подземного перехода (выход, дальний от вокзала);Транспорт;Адмиралтейский;Митрофаньевское ш;ПОС;1
30327;2022-04-19;Прошу удалить граффити на выходе из подземного перехода (выход, ближний к вокзалу);Дороги;Адмиралтейский;Митрофаньевское ш;ПОС;1
30328;2022-04-19;Есть только один выезд из микрорайона, а домов и жильцов всё больше - пробки на въезде и выезде уже постоянно. Сделайте ещё хотя бы один выезд хоть в какую-нибудь сторону, чтобы разгрузить автомобильный поток!!;Транспорт;Пушкинский;Шушары;ПОС;1
30334;2022-04-19;Здравствуйте, большая просьба произвести капитальный ремонт дорожного покрытия всей Придорожной аллеи. Дорога вся в колее, ямах.;Дороги;Выборгский;Придорожная ал;ПОС;1
30335;2022-04-19;Прошу установить павильоны ожидания городского пассажирского транспорта (автобуса номер 162) на остановочных пунктах по обеим сторонам дороги;Дороги;Петродворцовый;Новые Заводы ул;ПОС;1
30337;2022-04-19;Постоянно полные мусора урны;Дороги;Красногвардейский;Лупповский мост;ПОС;1
30345;2022-04-19;Здравствуйте. ПРошу установить мусорные урны по тротуару вдоль дома пр Просвещения д 15, нет ни одной . Высокая проходимость в этом месте и плюс офисы в доме, очень много мусора, очень! Нужны мусорные урны штук 10.Спасибо;Отходы;Выборгский;Просвещения пр-т 15;ПОС;1
30353;2022-04-19;Провести и уборку вокруг дома. Перед подъездами и с другой стороны дома ! Убрать палки, окурки , бутылки и т.д. на газоне. Провести и уборку и проконтролировать исполнителей ответственными руководителями. Наведите уже порядок скол ко уже можно испытывать.;Отходы;Невский;Седова ул 144;ПОС;1
30354;2022-04-19;"В связи с запахом, распространяющимся из кв. 19 по ул. Новоселов дом 1. 15 апреля 2022 г. Была вызвана полиция для вскрытия входной двери в квартиру 19 , где проживала Бухарова В. В. Полиция обнаружила тело женщины, умершей некоторое время назад. Запах был очень сильный. В настоящее время квартира опечатана, дверь в квартиру приоткрыта( фото), в парадной сильный трупный запах. Необходимо срочно провести санитарную обработку квартиры, найти и убрать труп кота; который находится в данной квартире; принять меры по закрытию двери. Мы опасаемся, что могут появиться различные болезни, связанные с присутствием в квартире трупа кота и нахождения длительного времени тела женщины в квартире. Меры необходимо принять срочно, не дожидаясь тяжелых последствий. Сильный трупный запах переносить невозможно!";ЖКХ;Невский;;ПОС;1
30355;2022-04-19;Добрый день, прошу Вас по возможности привести в порядок скамейки, которые очень давно не красились. Буду признательна, если вы сделаете наш двор более приятным;Благоустройство;Невский;Октябрьская наб;ПОС;1
30356;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30357;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30358;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30359;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30360;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30361;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30362;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30363;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30364;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30365;2022-04-19;Убрать межквартальные дороги;Дороги;Невский;;ПОС;1
30366;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30367;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;;ПОС;1
30368;2022-04-19;Убрать межквартальные дороги.;Дороги;Невский;Большевиков пр-т 31;ПОС;1
30385;2022-04-19;Добрый день прошу объяснить, по какой причине ребенок не может оставаться на продлёнке в школе, в случае отказа от платных услуг - Дополнительного английского языка. Есть ли объективные основания для этого?;Образование;Московский;;ПОС;1
30386;2022-04-19;Добрый день! Просьба восстановить благоустройство ( засеять газон) после производства работ;Благоустройство;Московский;Пулковское ш 34к1;ПОС;1
30387;2022-04-19;Уличная торговля на пешеходной зоне. Размещение прицепа на тротуаре. Проверить разрешение на торговлю.;Безопасность;Московский;Космонавтов пр-т;ПОС;1
30390;2022-04-19;Очень грязно во дворе дома Генерала Симоняка ул. Д.23. Песок годами не убирается. Бытовой мусор и ветки. Просьба привести территории в порядок ответственным лицам. Фото не делал, ибо вдоль всего дома 23 грязно. А перефот от вас не нужен. Сделайте просто так, что бы было чисто. А то чувствуют жители себя как на песчаном пляже.;Отходы;Кировский;Генерала Симоняка ул 23;ПОС;1
30391;2022-04-19;Необходимо очистить фасад от надписей;ЖКХ;Кировский;Метростроевцев ул 22;ПОС;1
30397;2022-04-19;Добрый день. Меня волнует вопрос благоустройство скверика около дома по Серебристому бульвару д.34 (территория около детской площадки, между площадью Льва Мациевича и домом) Зимой спилили старые деревья. Скажите пожалуйста планируется ли озеленение данной территории в 2022г? будут ли высажены деревья и кустарники? Как можно помочь решить этот вопрос?;Благоустройство;Приморский;Серебристый б-р 34;ПОС;1
30398;2022-04-19;"Вокруг железнодорожной станции ""Юный"", находящейся рядом с улицей Вербная 18. Образовалась свалка различного мусора. Через эту станцию проходит дорога до детского сада 25. В связи с накопившимся мусором образуется среда для появления крыс и неприятного запаха. Так же эти отбросы портят вид и ухудшают экологию. Прошу в кротчайшие сроки почистить указанную территорию.";Отходы;Приморский;Новоколомяжский пр-т 12;ПОС;1
30399;2022-04-19;Большая выбоина;Дороги;Приморский;Серебристый б-р 34к1;ПОС;1
30400;2022-04-19;У входа в первый подъезд дома свалены бытовые отходы, просьба помочь в наведении порядка;Отходы;Приморский;Богатырский ул 51к1;ПОС;1
30407;2022-04-19;Газон постоянно замусорен, грязь, посторонние предметы, отсутствие травяного покрова и зеленых насаждений, периодическая уборка, санитарная очистка не выполняются. Необходимо выполнить уборку в кратчайшие сроки. В ответе прошу разьяснить регламент, периодичность уборки, наименование организации обязанной выполнять уборку, номер госконтракта и сообщить должность, ФИО работника Комитета по благоустройству(КБ) который обязан проводить мониторинг, ведомственный контроль за надлежащим исполнением условий госконтракта. Привлечь ответственного работника КБ к дисциплинарной ответственности в связи с загрязненным антисанитарным состоянием газона.;Благоустройство;Пушкинский;Окуловская ул;ПОС;1
30408;2022-04-19;По адресу г.Санкт-Петербург, Пушкин, бульвар Алексея Толстого 9 (во дворе) огромные ямы. Так как бульвар перекрыт в связи с заменой труб, весь транспортный поток идёт через дворы. Ежедневно десяткам автомобилей приходится проваливаться в эти ямы, так как объехать их очень трудно, дорога узкая. В целом, безобразное отношение к городу.;Дороги;Пушкинский;Пушкин Алексея Толстого б-р 9;ПОС;1
30413;2022-04-19;Самозахват территории под парковку, ограждения;Дороги;Фрунзенский;;ПОС;1
30418;2022-04-19;Выдуться ремонтные работы по фасаду дома. Весь мусор лежит у моего входа и прям под окнами. Рабочие обещали что приедет машина и все уберёт ю, но прошло уже много времени , мусор так и лежит и рабочие сменились. В эту свалку справляют нужду коты и невозможно открыть окно, весь запах идёт в квартиру. Помогите разобраться с этим вопросом.;Отходы;Центральный;6-я Советская ул 10;ПОС;1
30419;2022-04-19;Круговой газон относящийся к реестру муниципальных ЗНОП вокруг детской площадки нужно привести к нормативному состоянию целиком, а именно: убрать старую листву с песком, мусор, упавшие ветки. Весь сор, со всего газона, по всей протяжённости и между кустами должен быть собран и вывезен. Работу должен выполнить муниципальный подрядчик от МО Смольнинское с которым заключён договор.;Отходы;Центральный;3-я Советская ул 17;ПОС;1
